DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/10;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);01 ;Mense;1;80
01/11/10;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);02 ;Residenze;2;162
01/11/10;05806;"Roma - Università degli studi del ""Foro Italico""";01 ;Mense;0;0
01/11/10;05806;"Roma - Università degli studi del ""Foro Italico""";02 ;Residenze;0;0
01/11/10;05807;Roma - III Università degli studi;01 ;Mense;0;0
01/11/10;05807;Roma - III Università degli studi;02 ;Residenze;0;0
01/11/10;05808;"Roma - Università ""Campus Bio-Medico""";01 ;Mense;0;0
01/11/10;05808;"Roma - Università ""Campus Bio-Medico""";02 ;Residenze;0;0
01/11/10;05809;Roma - Libera Università degli studi San Pio V;01 ;Mense;0;0
01/11/10;05809;Roma - Libera Università degli studi San Pio V;02 ;Residenze;0;0
01/11/10;05810;"Roma - Università telematica ""Guglielmo Marconi""";01 ;Mense;0;0
01/11/10;05810;"Roma - Università telematica ""Guglielmo Marconi""";02 ;Residenze;0;0
01/11/10;05811;"Roma - Università telematica ""TEL.M.A.""";01 ;Mense;-3;-3
01/11/10;05811;"Roma - Università telematica ""TEL.M.A.""";02 ;Residenze;-3;-3
01/11/10;05812;Roma - Università Europea;01 ;Mense;0;0
01/11/10;05812;Roma - Università Europea;02 ;Residenze;0;0
01/11/10;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";01 ;Mense;0;0
01/11/10;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";02 ;Residenze;0;0
01/11/10;05814;Roma - Universitas Mercatorum;01 ;Mense;0;0
01/11/10;05814;Roma - Universitas Mercatorum;02 ;Residenze;0;0
01/11/10;05815;Roma - Università telematica delle Scienze Umane UNISU;01 ;Mense;0;0
01/11/10;05815;Roma - Università telematica delle Scienze Umane UNISU;02 ;Residenze;0;0
01/11/10;06001;Cassino - Università degli studi;01 ;Mense;0;0
01/11/10;06001;Cassino - Università degli studi;02 ;Residenze;0;0
01/11/10;06201;Benevento - Università degli studi del Sannio;01 ;Mense;0;0
01/11/10;06201;Benevento - Università degli studi del Sannio;02 ;Residenze;1;74
01/11/10;06202;"Benevento - Università telematica ""Giustino Fortunato""";01 ;Mense;0;0
01/11/10;06202;"Benevento - Università telematica ""Giustino Fortunato""";02 ;Residenze;0;0
01/11/10;06301;"Napoli - Università degli studi ""Federico II""";01 ;Mense;0;0
01/11/10;06301;"Napoli - Università degli studi ""Federico II""";02 ;Residenze;0;0
01/11/10;06302;"Napoli - Università degli studi ""Parthenope""";01 ;Mense;0;0
01/11/10;06302;"Napoli - Università degli studi ""Parthenope""";02 ;Residenze;0;0
01/11/10;06303;"Napoli - Università degli studi ""L' Orientale""";01 ;Mense;0;0
01/11/10;06303;"Napoli - Università degli studi ""L' Orientale""";02 ;Residenze;0;0
01/11/10;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";01 ;Mense;0;0
01/11/10;06304;"Napoli - Istituto Universitario ""Suor Orsola Benincasa""";02 ;Residenze;1;80
01/11/10;06306;Napoli - Seconda Università degli studi;01 ;Mense;0;0
01/11/10;06306;Napoli - Seconda Università degli studi;02 ;Residenze;0;0
01/11/10;06307;"Napoli - Università telematica ""Pegaso""";01 ;Mense;0;0
01/11/10;06307;"Napoli - Università telematica ""Pegaso""";02 ;Residenze;0;0
01/11/10;06501;Salerno - Università degli studi;01 ;Mense;0;0
01/11/10;06501;Salerno - Università degli studi;02 ;Residenze;1;20
01/11/10;06601;L'Aquila - Università degli studi;01 ;Mense;0;0
01/11/10;06601;L'Aquila - Università degli studi;02 ;Residenze;0;0
01/11/10;06701;Teramo - Università degli studi;01 ;Mense;0;0
01/11/10;06701;Teramo - Università degli studi;02 ;Residenze;0;0
01/11/10;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;01 ;Mense;0;0
01/11/10;06901;Chieti e Pescara - Università degli studi Gabriele D'Annunzio;02 ;Residenze;0;0
01/11/10;06902;"Torrevecchia Teatina (CH) - Università telematica ""Leonardo da Vinci""";01 ;Mense;0;0
